,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
44,11/05/2024,12:30,Premier League,Matchweek 37,Sat,Home,L,0,4,Manchester City,0.1,3.2,36,24418,Bobby Reid,4-2-3-1,Anthony Taylor,Match Report,,1,1,9.6,0,0,0,2024,Fulham
45,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Luton Town,1.1,2,59,12027,Tim Ream,4-2-3-1,Matt Donohue,Match Report,,16,8,21.6,2,0,0,2024,Fulham
0,14/08/2023,20:00,Premier League,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,2.2,2.2,49,73358,Max Kilman,04/04/2002,Simon Hooper,Match Report,,23,6,15.3,0,0,0,2024,WolverhamptonWanderers
1,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,1,4,Brighton,2.1,2.2,47,31317,Max Kilman,4-4-1-1,Andy Madley,Match Report,,16,5,16.1,0,0,0,2024,WolverhamptonWanderers
2,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,W,1,0,Everton,1.1,1.3,53,38851,Max Kilman,4-4-1-1,Craig Pawson,Match Report,,11,2,17.8,1,0,0,2024,WolverhamptonWanderers
4,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,1.2,2.1,57,24741,Max Kilman,04/04/2002,Robert Jones,Match Report,,12,4,16.2,0,0,0,2024,WolverhamptonWanderers
5,16/09/2023,12:30,Premier League,Matchweek 5,Sat,Home,L,1,3,Liverpool,0.6,2.5,35,31257,Max Kilman,4-2-3-1,Michael Oliver,Match Report,,11,2,18.7,0,0,0,2024,WolverhamptonWanderers
6,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Luton Town,0.6,2.1,43,10893,Max Kilman,4-2-3-1,Joshua Smith,Match Report,,3,3,7,0,0,0,2024,WolverhamptonWanderers
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Manchester City,0.4,0.9,32,31415,Max Kilman,03/04/2003,Craig Pawson,Match Report,,3,1,11.4,0,0,0,2024,WolverhamptonWanderers
9,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1.7,1.6,47,31425,Max Kilman,03/04/2003,Robert Jones,Match Report,,8,3,16,0,0,0,2024,WolverhamptonWanderers
10,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Bournemouth,2.4,0.6,65,11175,Max Kilman,03/04/2003,Paul Tierney,Match Report,,21,7,16.2,0,0,0,2024,WolverhamptonWanderers
11,28/10/2023,17:30,Premier League,Matchweek 10,Sat,Home,D,2,2,Newcastle Utd,0.9,2.2,43,31584,Max Kilman,04/04/2002,Anthony Taylor,Match Report,,11,6,17.2,1,0,0,2024,WolverhamptonWanderers
12,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,L,1,2,Sheffield Utd,1.2,1,61,29454,Max Kilman,4-4-1-1,Robert Jones,Match Report,,10,3,17.5,1,0,0,2024,WolverhamptonWanderers
13,11/11/2023,12:30,Premier League,Matchweek 12,Sat,Home,W,2,1,Tottenham,2.1,0.7,42,31642,Max Kilman,03/05/2002,Tim Robinson,Match Report,,17,4,18.5,0,0,0,2024,WolverhamptonWanderers
14,27/11/2023,20:00,Premier League,Matchweek 13,Mon,Away,L,2,3,Fulham,1.4,2.9,40,24366,Max Kilman,03/05/2002,Michael Salisbury,Match Report,,9,5,16.6,0,1,1,2024,WolverhamptonWanderers
15,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Away,L,1,2,Arsenal,0.7,2.8,43,60262,Max Kilman,03/05/2002,Peter Bankes,Match Report,,6,3,10.8,0,0,0,2024,WolverhamptonWanderers
16,05/12/2023,19:30,Premier League,Matchweek 15,Tue,Home,W,1,0,Burnley,0.8,0.9,51,30439,Max Kilman,03/04/2003,Jarred Gillett,Match Report,,7,4,15.8,1,0,0,2024,WolverhamptonWanderers
17,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,D,1,1,Nott'ham Forest,1.2,1.3,68,31543,Max Kilman,03/04/2003,Samuel Barrott,Match Report,,10,4,15.2,0,0,0,2024,WolverhamptonWanderers
18,17/12/2023,14:00,Premier League,Matchweek 17,Sun,Away,L,0,3,West Ham,0.7,1.1,55,62455,Max Kilman,03/04/2003,Chris Kavanagh,Match Report,,14,3,20.5,0,0,0,2024,WolverhamptonWanderers
19,24/12/2023,13:00,Premier League,Matchweek 18,Sun,Home,W,2,1,Chelsea,1.3,2,32,31641,Max Kilman,03/04/2003,David Coote,Match Report,,14,6,16.7,1,0,0,2024,WolverhamptonWanderers
20,27/12/2023,19:30,Premier League,Matchweek 19,Wed,Away,W,4,1,Brentford,2.4,2.2,40,17109,Max Kilman,03/04/2003,Andy Madley,Match Report,,11,5,17.8,0,0,0,2024,WolverhamptonWanderers
21,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,3,0,Everton,1.9,0.4,53,31639,Max Kilman,03/04/2003,Thomas Bramall,Match Report,,12,6,13.4,0,0,0,2024,WolverhamptonWanderers
24,22/01/2024,19:45,Premier League,Matchweek 21,Mon,Away,D,0,0,Brighton,1.1,1,28,41505,Max Kilman,03/04/2003,Craig Pawson,Match Report,,8,3,18.6,0,0,0,2024,WolverhamptonWanderers
26,01/02/2024,20:15,Premier League,Matchweek 22,Thu,Home,L,3,4,Manchester Utd,2.1,3.3,53,31641,Max Kilman,03/04/2003,Jarred Gillett,Match Report,,15,5,16.6,1,1,1,2024,WolverhamptonWanderers
